Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
15-Apr-24,EQ,466.45,468.35,458.2,470.75,458.5,459.35,462.88,545.9,352,"60,88,236","2,81,81,32,715.95","1,06,295"
12-Apr-24,EQ,475,480,470,477.3,471.2,470.75,474.6,545.9,352,"65,85,023","3,12,52,73,929.60","1,24,860"
10-Apr-24,EQ,477.5,479.45,473.1,475.8,477.7,477.3,476.56,545.9,352,"53,85,767","2,56,66,67,762.60","96,262"
09-Apr-24,EQ,483.95,485.25,475.2,479.9,476.2,475.8,480,545.9,352,"79,00,625","3,79,23,12,304.20","94,664"
08-Apr-24,EQ,490,491.6,478.2,485.05,480.25,479.9,481.97,545.9,352,"1,33,20,385","6,42,00,41,980.50","1,58,947"
05-Apr-24,EQ,486.5,487.15,482.55,487.4,485,485.05,485.12,545.9,352,"32,07,172","1,55,58,58,117.10","67,428"
04-Apr-24,EQ,485.8,491.95,479.6,483.2,489,487.4,486.02,545.9,352,"80,02,023","3,88,91,52,033.00","1,33,925"
03-Apr-24,EQ,480,487.7,475.95,481.2,483.75,483.2,483.26,545.9,352,"68,97,258","3,33,31,43,126.20","89,528"
02-Apr-24,EQ,481.95,482.7,479.6,484.95,481.65,481.2,480.97,545.9,352,"34,66,327","1,66,71,89,630.65","60,299"
01-Apr-24,EQ,483.7,486.4,481.55,480.1,485.1,484.95,484.07,545.9,352,"30,20,504","1,46,21,49,401.65","54,843"
28-Mar-24,EQ,476.7,483.05,475.3,472.3,480,480.1,479.46,545.9,352,"77,27,575","3,70,50,31,323.15","1,16,396"
27-Mar-24,EQ,479.7,480.95,471.25,479.85,472,472.3,475.86,545.9,352,"71,60,334","3,40,73,35,199.95","1,32,362"
26-Mar-24,EQ,486,490.95,479.05,487.1,479.9,479.85,482.46,545.9,352,"91,36,673","4,40,81,01,326.90","1,35,593"
22-Mar-24,EQ,489.25,490.75,479.55,500.45,488.15,487.1,485.76,545.9,352,"1,43,23,251","6,95,77,32,104.45","2,13,879"
21-Mar-24,EQ,499.65,505.3,498.45,493.5,501,500.45,501.64,545.9,352,"58,22,290","2,92,06,74,298.90","1,25,870"
20-Mar-24,EQ,496.05,501.25,489.2,494.85,494.1,493.5,494.36,545.9,352,"41,92,672","2,07,26,97,556.55","93,190"
19-Mar-24,EQ,509,509,493.15,510.2,494.05,494.85,500.12,545.9,352,"48,08,693","2,40,49,22,101.70","1,00,950"
18-Mar-24,EQ,518,518.55,509,517,510,510.2,512.48,545.9,352,"31,96,980","1,63,83,84,109.40","74,628"
15-Mar-24,EQ,514.75,518.25,506.4,517.95,515.05,517,514.17,545.9,352,"68,24,543","3,50,89,48,810.80","1,20,822"
14-Mar-24,EQ,501.15,518.9,495.15,504.4,516.7,517.95,510.75,545.9,352,"64,12,736","3,27,52,92,245.50","1,31,382"
13-Mar-24,EQ,513.8,518.7,496.8,510.85,503.3,504.4,507.97,545.9,352,"67,90,240","3,44,92,51,500.10","1,31,621"
12-Mar-24,EQ,512.75,522.5,507.75,514.55,510.35,510.85,514.32,545.9,352,"58,26,380","2,99,66,41,599.75","1,11,713"
11-Mar-24,EQ,517.4,518.95,512.3,515.5,513.35,514.55,515.88,545.9,352,"55,65,756","2,87,12,72,596.85","1,00,543"
07-Mar-24,EQ,513.75,520.4,510.5,513.15,514.4,515.5,515.79,545.9,352,"48,53,991","2,50,36,34,427.65","90,688"
06-Mar-24,EQ,513.7,514.85,500,513.3,513.7,513.15,507.3,545.9,352,"55,45,961","2,81,34,60,342.15","1,06,018"
05-Mar-24,EQ,517.75,520.5,510.65,520.5,512.95,513.3,514.68,545.9,352,"52,60,774","2,70,75,97,916.35","1,02,449"
04-Mar-24,EQ,522.95,526.4,518.55,522.85,520.45,520.5,522.04,545.9,352,"28,31,185","1,47,79,78,691.80","70,787"
02-Mar-24,EQ,523.45,524.8,522,519.1,523,522.85,523.18,545.9,352,"3,40,134","17,79,52,735.70","8,551"
01-Mar-24,EQ,522.4,525.2,517.55,518.6,519.25,519.1,519.93,545.9,352,"47,10,315","2,44,90,24,179.70","1,01,604"
29-Feb-24,EQ,517.3,524.25,513.2,517.7,521,518.6,518.18,545.9,352,"72,31,382","3,74,71,58,471.15","1,26,016"
28-Feb-24,EQ,530,530.95,515,531.45,515.8,517.7,522.69,545.9,352,"63,94,528","3,34,23,69,685.30","1,54,136"
27-Feb-24,EQ,534,537.4,527.55,532.9,531.1,531.45,532.4,545.9,352,"51,99,630","2,76,82,62,998.75","1,06,972"
26-Feb-24,EQ,536.25,536.5,526.05,536.15,531.5,532.9,530.97,545.9,352,"44,10,318","2,34,17,63,075.15","1,21,022"
23-Feb-24,EQ,535,541.25,533.3,531.05,534.4,536.15,536.4,545.9,352,"99,30,497","5,32,67,58,973.40","1,51,667"
22-Feb-24,EQ,522.8,533,521.45,521.4,530.8,531.05,526.59,545.9,352,"72,98,241","3,84,31,47,169.20","1,58,061"
21-Feb-24,EQ,535.9,536.3,519.5,531.95,521,521.4,526.81,545.9,352,"65,57,787","3,45,47,23,748.55","1,37,819"
20-Feb-24,EQ,535.8,538.15,526.25,535.95,531.95,531.95,532.53,545.9,352,"51,87,063","2,76,22,43,913.00","1,23,368"
19-Feb-24,EQ,545.9,545.9,531.35,543,536,535.95,537.98,545.9,352,"93,01,379","5,00,39,65,091.35","1,52,421"
16-Feb-24,EQ,522.5,545,520.95,518.5,541.95,543,535.12,545,352,"1,74,71,322","9,34,92,29,002.00","2,57,984"
15-Feb-24,EQ,516.95,522.85,513.05,514.5,517.7,518.5,518.83,529,352,"72,85,388","3,77,99,13,374.25","1,39,433"
14-Feb-24,EQ,503.95,517,497.05,511.6,512.75,514.5,507.88,529,352,"1,12,97,328","5,73,76,87,587.40","1,38,332"
13-Feb-24,EQ,503.1,513,491.7,501.45,511.5,511.6,504.28,529,352,"1,11,86,788","5,64,12,64,185.90","1,38,027"
12-Feb-24,EQ,491,510.8,491,490.45,501.15,501.45,504.66,529,352,"2,44,36,750","12,33,21,75,483.15","2,70,583"
09-Feb-24,EQ,490.9,494.75,482.75,488.85,491,490.45,488.69,529,352,"39,46,894","1,92,88,09,821.30","98,190"
08-Feb-24,EQ,495.9,500.1,485.1,495.2,489,488.85,492.54,529,352,"56,51,920","2,78,37,94,237.35","1,32,052"
07-Feb-24,EQ,500.95,501.7,492.55,499.65,495.1,495.2,496.51,529,352,"45,51,767","2,26,00,05,484.70","98,302"
06-Feb-24,EQ,484.7,501.8,483.1,482.35,499.45,499.65,496.86,529,352,"1,45,12,019","7,21,04,61,310.90","2,06,606"
05-Feb-24,EQ,483,489.5,479.15,483.15,482.5,482.35,484.49,529,352,"57,83,302","2,80,19,49,885.55","1,04,970"
02-Feb-24,EQ,475,486.5,475,471.35,483.8,483.15,481.32,529,352,"81,48,111","3,92,18,65,076.40","1,43,077"
01-Feb-24,EQ,477.55,477.7,470.6,478.15,471.4,471.35,473.04,529,352,"39,14,060","1,85,14,96,740.95","94,070"
31-Jan-24,EQ,472.5,479.9,469,472.5,477,478.15,474.77,529,352,"52,92,240","2,51,26,00,122.90","1,02,548"
30-Jan-24,EQ,474.4,482.9,471.5,473,472.55,472.5,477.82,529,352,"59,14,007","2,82,58,37,433.50","1,13,702"
29-Jan-24,EQ,470,477,470,470,473.05,473,474.11,529,352,"50,25,650","2,38,27,01,969.55","95,169"
25-Jan-24,EQ,478.05,479.35,468.55,478.05,471.85,470,472.58,529,352,"64,26,490","3,03,70,56,380.60","1,32,676"
24-Jan-24,EQ,471,479,468.05,469.9,478.75,478.05,472.97,529,352,"58,54,375","2,76,89,38,795.80","1,16,149"
