Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
21-Feb-17,EQ,372.1,377.9,359.5,375.35,360.85,362.85,366.94,385,283.05,"63,34,134","2,32,42,34,136.60","59,643"
20-Feb-17,EQ,370.15,379,370.15,369.5,373.9,375.35,376.4,385,283.05,"34,93,398","1,31,49,22,337.05","41,189"
17-Feb-17,EQ,367,372.2,362.3,365.7,370,369.5,367.01,385,283.05,"22,99,853","84,40,73,253.00","38,477"
16-Feb-17,EQ,361.3,368.9,360.3,365.3,365.85,365.7,366.18,385,283.05,"36,50,069","1,33,65,85,769.80","44,864"
15-Feb-17,EQ,369.9,372.5,360.1,368.95,364.75,365.3,366.54,385,283.05,"35,82,028","1,31,29,68,506.40","42,877"
14-Feb-17,EQ,357.5,369.9,355,358.05,368.65,368.95,363.89,385,283.05,"42,71,242","1,55,42,60,830.55","68,778"
13-Feb-17,EQ,353.45,360,353.35,357.55,358,358.05,357.12,385,283.05,"33,06,745","1,18,09,20,833.25","30,410"
10-Feb-17,EQ,357,360.4,355.05,355.25,356.45,357.55,357.3,385,283.05,"19,86,275","70,96,95,120.80","26,454"
09-Feb-17,EQ,352.05,357,350.8,352.2,356,355.25,354.39,385,283.05,"18,42,114","65,28,28,725.65","50,759"
08-Feb-17,EQ,355,355.85,346.9,353.15,352,352.2,350.57,385,283.05,"44,05,681","1,54,45,08,030.70","54,679"
07-Feb-17,EQ,354.2,358.8,350.8,355.25,353.8,353.15,354.43,385,283.05,"36,60,915","1,29,75,55,059.85","53,325"
06-Feb-17,EQ,354,356.95,352.65,353.8,355.6,355.25,354.78,385,283.05,"13,55,896","48,10,50,410.40","32,194"
03-Feb-17,EQ,353.3,362,352.2,353.3,353.5,353.8,355.18,385,283.05,"23,99,709","85,23,37,088.35","32,988"
02-Feb-17,EQ,345,359.8,344.25,345.1,353.4,353.3,354.1,385,283.05,"62,77,232","2,22,27,68,547.65","80,196"
